사가,159,83
라차,161,58
라자,149,53
나나,143,50
파하,141,65
마하,183,85
아다,167,40
파마,157,97
마하,160,58
아자,189,86
하마,159,95
파하,183,77
카차,150,79
자카,140,83
사하,177,97
타사,175,90
다차,183,71
파아,140,65
사타,140,78
가타,172,63
사다,162,95
사사,158,41
파바,177,70
카자,143,86
다아,175,42
타사,190,58
하아,151,49
바자,157,87
사가,140,43
라하,161,43
하나,197,74
아가,178,67
라자,148,63
바나,177,99
마바,165,45
사라,156,94
차라,170,41
아가,179,41
타사,153,48
하바,141,69
아파,179,87
파사,191,84
파사,152,57
사차,150,56
바타,164,63
가아,146,97
나자,147,85
카나,167,79
파아,148,41
아라,180,69
다하,155,85
사타,166,43
자바,199,53
가차,184,52
바파,172,87
바사,168,69
바자,168,71
나자,193,80
아가,140,44
마마,174,69
카자,164,60
아다,159,50
마아,193,54
파아,150,75
자하,164,95
사타,154,83
사바,150,69
자마,151,52
카카,147,97
아아,181,77
자타,191,93
마마,174,65
파타,189,63
카라,188,92
바마,161,67
자아,199,63
바다,157,59
아가,165,79
마파,173,63
하차,191,78
파하,154,64
마아,181,79
하자,163,90
나마,183,62
카파,154,58
다나,184,91
카아,198,76
바다,148,42
마타,196,62
자차,176,76
사자,183,99
바라,179,69
아사,173,64
마가,199,90
바파,142,60
마라,142,64
다아,191,87
하타,195,85
다아,159,95
파차,148,43
다사,154,77
아사,183,49
바다,164,65
하사,165,47
자아,189,40
사사,180,47
하마,179,79
사차,151,70
파차,172,89
아하,168,80
카자,185,61
바라,159,51
가라,192,55
사사,156,94
마마,154,94
사하,193,45
바파,150,57
카파,144,45
카차,191,72
자가,145,76
자바,191,94
사타,199,95
다다,190,73
다파,152,99
사바,181,76
마바,191,55
차하,197,59
카파,158,82
나자,195,74
라자,191,62
사카,175,66
파카,189,51
사나,170,67
아타,190,40
파라,181,88
자라,142,46
마나,159,88
카다,177,59
라사,184,52
바자,172,98
아가,159,80
마사,178,89
카카,158,93
바사,143,44
라차,198,45
아사,184,84
나가,140,55
아마,181,56
타하,188,62
다바,162,98
라자,180,49
하다,161,82
카아,155,52
자사,193,89
카파,188,96
마하,169,87
라아,158,68
하마,172,92
차다,185,81
아사,140,91
다타,151,95
차가,152,52
가타,141,41
파아,162,84
차다,191,96
하바,187,57
아바,173,54
하라,144,56
나라,172,97
다나,181,57
사하,187,65
파나,153,41
나사,187,58
바타,182,81
다가,187,98
타하,146,41
라차,141,60
차라,171,65
나바,150,49
다바,172,83
파나,189,65
다하,150,73
마바,143,84
자차,163,89
자파,166,61
타카,199,49
아파,185,46
차파,187,91
마아,197,43
나다,182,80
하자,179,58
다타,156,57
자가,175,73
사카,180,81
아나,170,78
하자,195,99
가하,152,81
마카,187,77
바다,187,43
아사,171,88
차라,173,54
라차,152,85
가자,151,80
마타,175,70
가바,155,88
타바,141,65
파마,176,44
가차,184,41
파아,161,86
아라,176,94
